Vardas                        Pavarde                       Galutinis balas (vidurkis)    
Vardenis1731                  Pavardenis1731                3.44                          
Vardenis1732                  Pavardenis1732                4.00                          
Vardenis1733                  Pavardenis1733                4.32                          
Vardenis1734                  Pavardenis1734                3.12                          
Vardenis1735                  Pavardenis1735                3.68                          
Vardenis1736                  Pavardenis1736                3.20                          
Vardenis1737                  Pavardenis1737                3.04                          
Vardenis1738                  Pavardenis1738                3.20                          
Vardenis1739                  Pavardenis1739                3.92                          
Vardenis174                   Pavardenis174                 3.04                          
Vardenis1740                  Pavardenis1740                3.52                          
Vardenis1741                  Pavardenis1741                3.20                          
Vardenis1742                  Pavardenis1742                2.88                          
Vardenis1743                  Pavardenis1743                3.84                          
Vardenis1744                  Pavardenis1744                3.68                          
Vardenis1745                  Pavardenis1745                4.88                          
Vardenis1746                  Pavardenis1746                3.84                          
Vardenis1747                  Pavardenis1747                2.80                          
Vardenis1748                  Pavardenis1748                4.00                          
Vardenis1749                  Pavardenis1749                2.80                          
Vardenis175                   Pavardenis175                 3.76                          
Vardenis1750                  Pavardenis1750                3.36                          
Vardenis1751                  Pavardenis1751                3.04                          
Vardenis1752                  Pavardenis1752                4.32                          
Vardenis1753                  Pavardenis1753                3.12                          
Vardenis1754                  Pavardenis1754                3.04                          
Vardenis1755                  Pavardenis1755                4.08                          
Vardenis1756                  Pavardenis1756                2.88                          
Vardenis1757                  Pavardenis1757                3.20                          
Vardenis1758                  Pavardenis1758                3.20                          
Vardenis1759                  Pavardenis1759                4.32                          
Vardenis176                   Pavardenis176                 2.64                          
Vardenis1760                  Pavardenis1760                3.04                          
Vardenis1761                  Pavardenis1761                2.96                          
Vardenis1762                  Pavardenis1762                3.44                          
Vardenis1763                  Pavardenis1763                3.12                          
Vardenis1764                  Pavardenis1764                2.80                          
Vardenis1765                  Pavardenis1765                3.12                          
Vardenis1766                  Pavardenis1766                3.44                          
Vardenis1767                  Pavardenis1767                4.32                          
Vardenis1768                  Pavardenis1768                3.36                          
Vardenis1769                  Pavardenis1769                3.68                          
Vardenis177                   Pavardenis177                 3.20                          
Vardenis1770                  Pavardenis1770                2.64                          
Vardenis1771                  Pavardenis1771                4.32                          
Vardenis1772                  Pavardenis1772                4.32                          
Vardenis1773                  Pavardenis1773                3.12                          
Vardenis1774                  Pavardenis1774                3.12                          
Vardenis1775                  Pavardenis1775                3.12                          
Vardenis1776                  Pavardenis1776                4.16                          
Vardenis1777                  Pavardenis1777                2.48                          
Vardenis1778                  Pavardenis1778                3.92                          
Vardenis1779                  Pavardenis1779                3.68                          
Vardenis178                   Pavardenis178                 3.76                          
Vardenis1780                  Pavardenis1780                3.36                          
Vardenis1781                  Pavardenis1781                3.60                          
Vardenis1782                  Pavardenis1782                4.24                          
Vardenis1783                  Pavardenis1783                3.60                          
Vardenis1784                  Pavardenis1784                3.04                          
Vardenis1785                  Pavardenis1785                3.76                          
Vardenis1786                  Pavardenis1786                3.04                          
Vardenis1787                  Pavardenis1787                4.16                          
Vardenis1788                  Pavardenis1788                4.32                          
Vardenis1789                  Pavardenis1789                3.44                          
Vardenis179                   Pavardenis179                 2.72                          
Vardenis1790                  Pavardenis1790                3.04                          
Vardenis1791                  Pavardenis1791                3.76                          
Vardenis1792                  Pavardenis1792                3.28                          
Vardenis1793                  Pavardenis1793                3.68                          
Vardenis1794                  Pavardenis1794                3.28                          
Vardenis1795                  Pavardenis1795                3.52                          
Vardenis1796                  Pavardenis1796                2.72                          
Vardenis1797                  Pavardenis1797                3.44                          
Vardenis1798                  Pavardenis1798                3.68                          
Vardenis1799                  Pavardenis1799                4.16                          
Vardenis18                    Pavardenis18                  3.44                          
Vardenis180                   Pavardenis180                 3.36                          
Vardenis1800                  Pavardenis1800                3.20                          
Vardenis1801                  Pavardenis1801                3.04                          
Vardenis1802                  Pavardenis1802                4.00                          
Vardenis1803                  Pavardenis1803                3.12                          
Vardenis1804                  Pavardenis1804                3.36                          
Vardenis1805                  Pavardenis1805                3.52                          
Vardenis1806                  Pavardenis1806                3.28                          
Vardenis1807                  Pavardenis1807                3.60                          
Vardenis1808                  Pavardenis1808                3.92                          
Vardenis1809                  Pavardenis1809                3.76                          
Vardenis181                   Pavardenis181                 3.76                          
Vardenis1810                  Pavardenis1810                2.96                          
Vardenis1811                  Pavardenis1811                4.08                          
Vardenis1812                  Pavardenis1812                2.64                          
Vardenis1813                  Pavardenis1813                4.24                          
Vardenis1814                  Pavardenis1814                4.16                          
Vardenis1815                  Pavardenis1815                3.68                          
Vardenis1816                  Pavardenis1816                2.96                          
Vardenis1817                  Pavardenis1817                2.48                          
Vardenis1818                  Pavardenis1818                3.76                          
Vardenis1819                  Pavardenis1819                3.36                          
Vardenis182                   Pavardenis182                 3.44                          
Vardenis1820                  Pavardenis1820                3.84                          
Vardenis1821                  Pavardenis1821                3.52                          
Vardenis1822                  Pavardenis1822                2.72                          
Vardenis1823                  Pavardenis1823                3.92                          
Vardenis1824                  Pavardenis1824                3.52                          
Vardenis1825                  Pavardenis1825                4.08                          
Vardenis1826                  Pavardenis1826                3.36                          
Vardenis1827                  Pavardenis1827                3.36                          
Vardenis1828                  Pavardenis1828                3.68                          
Vardenis1829                  Pavardenis1829                3.36                          
Vardenis183                   Pavardenis183                 3.12                          
Vardenis1830                  Pavardenis1830                4.64                          
Vardenis1831                  Pavardenis1831                4.00                          
Vardenis1832                  Pavardenis1832                3.68                          
Vardenis1833                  Pavardenis1833                2.64                          
Vardenis1834                  Pavardenis1834                3.36                          
Vardenis1835                  Pavardenis1835                3.04                          
Vardenis1836                  Pavardenis1836                3.92                          
Vardenis1837                  Pavardenis1837                3.60                          
Vardenis1838                  Pavardenis1838                3.36                          
Vardenis1839                  Pavardenis1839                3.20                          
Vardenis184                   Pavardenis184                 3.44                          
Vardenis1840                  Pavardenis1840                3.36                          
Vardenis1841                  Pavardenis1841                3.60                          
Vardenis1842                  Pavardenis1842                3.60                          
Vardenis1843                  Pavardenis1843                4.56                          
Vardenis1844                  Pavardenis1844                3.20                          
Vardenis1845                  Pavardenis1845                3.60                          
Vardenis1846                  Pavardenis1846                3.84                          
Vardenis1847                  Pavardenis1847                3.20                          
Vardenis1848                  Pavardenis1848                4.32                          
Vardenis1849                  Pavardenis1849                3.68                          
Vardenis185                   Pavardenis185                 3.28                          
Vardenis1850                  Pavardenis1850                4.08                          
Vardenis1851                  Pavardenis1851                3.60                          
Vardenis1852                  Pavardenis1852                2.80                          
Vardenis1853                  Pavardenis1853                3.68                          
Vardenis1854                  Pavardenis1854                3.92                          
Vardenis1855                  Pavardenis1855                2.72                          
Vardenis1856                  Pavardenis1856                3.84                          
Vardenis1857                  Pavardenis1857                2.72                          
Vardenis1858                  Pavardenis1858                3.36                          
Vardenis1859                  Pavardenis1859                3.12                          
Vardenis186                   Pavardenis186                 4.00                          
Vardenis1860                  Pavardenis1860                2.72                          
Vardenis1861                  Pavardenis1861                3.20                          
Vardenis1862                  Pavardenis1862                3.76                          
Vardenis1863                  Pavardenis1863                2.80                          
Vardenis1864                  Pavardenis1864                3.36                          
Vardenis1865                  Pavardenis1865                3.60                          
Vardenis1866                  Pavardenis1866                3.60                          
Vardenis1867                  Pavardenis1867                3.04                          
Vardenis1868                  Pavardenis1868                3.52                          
Vardenis1869                  Pavardenis1869                3.76                          
Vardenis187                   Pavardenis187                 3.36                          
Vardenis1870                  Pavardenis1870                3.28                          
Vardenis1871                  Pavardenis1871                3.36                          
Vardenis1872                  Pavardenis1872                3.44                          
Vardenis1873                  Pavardenis1873                3.36                          
Vardenis1874                  Pavardenis1874                2.88                          
Vardenis1875                  Pavardenis1875                3.04                          
Vardenis1876                  Pavardenis1876                2.96                          
Vardenis1877                  Pavardenis1877                3.04                          
Vardenis1878                  Pavardenis1878                3.52                          
Vardenis1879                  Pavardenis1879                1.92                          
Vardenis188                   Pavardenis188                 2.64                          
Vardenis1880                  Pavardenis1880                3.36                          
Vardenis1881                  Pavardenis1881                3.68                          
Vardenis1882                  Pavardenis1882                3.20                          
Vardenis1883                  Pavardenis1883                3.76                          
Vardenis1884                  Pavardenis1884                3.12                          
Vardenis1885                  Pavardenis1885                3.36                          
Vardenis1886                  Pavardenis1886                2.48                          
Vardenis1887                  Pavardenis1887                3.12                          
Vardenis1888                  Pavardenis1888                2.56                          
Vardenis1889                  Pavardenis1889                3.60                          
Vardenis189                   Pavardenis189                 2.72                          
Vardenis1890                  Pavardenis1890                3.04                          
Vardenis1891                  Pavardenis1891                3.04                          
Vardenis1892                  Pavardenis1892                3.92                          
Vardenis1893                  Pavardenis1893                3.68                          
Vardenis1894                  Pavardenis1894                2.88                          
Vardenis1895                  Pavardenis1895                2.08                          
Vardenis1896                  Pavardenis1896                3.44                          
Vardenis1897                  Pavardenis1897                3.68                          
Vardenis1898                  Pavardenis1898                3.04                          
Vardenis1899                  Pavardenis1899                3.84                          
Vardenis19                    Pavardenis19                  3.20                          
Vardenis190                   Pavardenis190                 2.80                          
Vardenis1900                  Pavardenis1900                2.96                          
Vardenis1901                  Pavardenis1901                3.92                          
Vardenis1902                  Pavardenis1902                4.24                          
Vardenis1903                  Pavardenis1903                2.64                          
Vardenis1904                  Pavardenis1904                3.68                          
Vardenis1905                  Pavardenis1905                2.40                          
Vardenis1906                  Pavardenis1906                4.64                          
Vardenis1907                  Pavardenis1907                4.72                          
Vardenis1908                  Pavardenis1908                3.52                          
Vardenis1909                  Pavardenis1909                3.36                          
Vardenis191                   Pavardenis191                 2.88                          
Vardenis1910                  Pavardenis1910                2.40                          
Vardenis1911                  Pavardenis1911                3.68                          
Vardenis1912                  Pavardenis1912                4.88                          
Vardenis1913                  Pavardenis1913                3.04                          
Vardenis1914                  Pavardenis1914                2.72                          
Vardenis1915                  Pavardenis1915                3.04                          
Vardenis1916                  Pavardenis1916                3.92                          
Vardenis1917                  Pavardenis1917                3.60                          
Vardenis1918                  Pavardenis1918                3.52                          
Vardenis1919                  Pavardenis1919                3.20                          
Vardenis192                   Pavardenis192                 3.52                          
Vardenis1920                  Pavardenis1920                2.88                          
Vardenis1921                  Pavardenis1921                3.52                          
Vardenis1922                  Pavardenis1922                3.60                          
Vardenis1923                  Pavardenis1923                2.96                          
Vardenis1924                  Pavardenis1924                3.28                          
Vardenis1925                  Pavardenis1925                2.80                          
Vardenis1926                  Pavardenis1926                3.12                          
Vardenis1927                  Pavardenis1927                3.84                          
Vardenis1928                  Pavardenis1928                3.60                          
Vardenis1929                  Pavardenis1929                3.04                          
Vardenis193                   Pavardenis193                 2.40                          
Vardenis1930                  Pavardenis1930                3.76                          
Vardenis1931                  Pavardenis1931                2.72                          
Vardenis1932                  Pavardenis1932                4.32                          
Vardenis1933                  Pavardenis1933                2.72                          
Vardenis1934                  Pavardenis1934                3.52                          
Vardenis1935                  Pavardenis1935                2.72                          
Vardenis1936                  Pavardenis1936                3.84                          
Vardenis1937                  Pavardenis1937                3.76                          
Vardenis1938                  Pavardenis1938                3.28                          
Vardenis1939                  Pavardenis1939                3.68                          
Vardenis194                   Pavardenis194                 2.64                          
Vardenis1940                  Pavardenis1940                3.20                          
Vardenis1941                  Pavardenis1941                3.52                          
Vardenis1942                  Pavardenis1942                3.36                          
Vardenis1943                  Pavardenis1943                3.04                          
Vardenis1944                  Pavardenis1944                2.96                          
Vardenis1945                  Pavardenis1945                2.40                          
Vardenis1946                  Pavardenis1946                3.44                          
Vardenis1947                  Pavardenis1947                2.96                          
Vardenis1948                  Pavardenis1948                3.68                          
Vardenis1949                  Pavardenis1949                2.64                          
Vardenis195                   Pavardenis195                 3.76                          
Vardenis1950                  Pavardenis1950                3.28                          
Vardenis1951                  Pavardenis1951                3.84                          
Vardenis1952                  Pavardenis1952                4.00                          
Vardenis1953                  Pavardenis1953                3.44                          
Vardenis1954                  Pavardenis1954                3.84                          
Vardenis1955                  Pavardenis1955                3.76                          
Vardenis1956                  Pavardenis1956                3.92                          
Vardenis1957                  Pavardenis1957                2.72                          
Vardenis1958                  Pavardenis1958                2.72                          
Vardenis1959                  Pavardenis1959                3.84                          
Vardenis196                   Pavardenis196                 4.16                          
Vardenis1960                  Pavardenis1960                3.76                          
Vardenis1961                  Pavardenis1961                2.88                          
Vardenis1962                  Pavardenis1962                2.96                          
Vardenis1963                  Pavardenis1963                3.28                          
Vardenis1964                  Pavardenis1964                2.72                          
Vardenis1965                  Pavardenis1965                3.52                          
Vardenis1966                  Pavardenis1966                3.20                          
Vardenis1967                  Pavardenis1967                3.28                          
Vardenis1968                  Pavardenis1968                3.36                          
Vardenis1969                  Pavardenis1969                2.56                          
Vardenis197                   Pavardenis197                 3.60                          
Vardenis1970                  Pavardenis1970                3.52                          
Vardenis1971                  Pavardenis1971                3.68                          
Vardenis1972                  Pavardenis1972                2.80                          
Vardenis1973                  Pavardenis1973                4.32                          
Vardenis1974                  Pavardenis1974                3.20                          
Vardenis1975                  Pavardenis1975                2.72                          
Vardenis1976                  Pavardenis1976                4.00                          
Vardenis1977                  Pavardenis1977                3.84                          
Vardenis1978                  Pavardenis1978                2.80                          
Vardenis1979                  Pavardenis1979                3.84                          
Vardenis198                   Pavardenis198                 3.84                          
Vardenis1980                  Pavardenis1980                3.84                          
Vardenis1981                  Pavardenis1981                2.80                          
Vardenis1982                  Pavardenis1982                3.60                          
Vardenis1983                  Pavardenis1983                3.60                          
Vardenis1984                  Pavardenis1984                3.44                          
Vardenis1985                  Pavardenis1985                3.76                          
Vardenis1986                  Pavardenis1986                2.88                          
Vardenis1987                  Pavardenis1987                3.84                          
Vardenis1988                  Pavardenis1988                2.72                          
Vardenis1989                  Pavardenis1989                2.40                          
Vardenis199                   Pavardenis199                 3.92                          
Vardenis1990                  Pavardenis1990                3.04                          
Vardenis1991                  Pavardenis1991                2.32                          
Vardenis1992                  Pavardenis1992                3.60                          
Vardenis1993                  Pavardenis1993                3.28                          
Vardenis1994                  Pavardenis1994                3.76                          
Vardenis1995                  Pavardenis1995                3.68                          
Vardenis1996                  Pavardenis1996                3.12                          
Vardenis1997                  Pavardenis1997                2.64                          
Vardenis1998                  Pavardenis1998                3.84                          
Vardenis1999                  Pavardenis1999                4.00                          
Vardenis2                     Pavardenis2                   2.88                          
Vardenis20                    Pavardenis20                  2.64                          
Vardenis200                   Pavardenis200                 4.48                          
Vardenis2000                  Pavardenis2000                3.04                          
Vardenis2001                  Pavardenis2001                3.52                          
Vardenis2002                  Pavardenis2002                3.68                          
Vardenis2003                  Pavardenis2003                4.08                          
Vardenis2004                  Pavardenis2004                4.00                          
Vardenis2005                  Pavardenis2005                3.36                          
Vardenis2006                  Pavardenis2006                4.32                          
Vardenis2007                  Pavardenis2007                3.44                          
Vardenis2008                  Pavardenis2008                3.68                          
Vardenis2009                  Pavardenis2009                4.56                          
Vardenis201                   Pavardenis201                 3.36                          
Vardenis2010                  Pavardenis2010                4.08                          
Vardenis2011                  Pavardenis2011                2.64                          
Vardenis2012                  Pavardenis2012                3.20                          
Vardenis2013                  Pavardenis2013                3.92                          
Vardenis2014                  Pavardenis2014                3.76                          
Vardenis2015                  Pavardenis2015                3.60                          
Vardenis2016                  Pavardenis2016                4.00                          
Vardenis2017                  Pavardenis2017                3.52                          
Vardenis2018                  Pavardenis2018                3.44                          
Vardenis2019                  Pavardenis2019                2.88                          
Vardenis202                   Pavardenis202                 3.28                          
Vardenis2020                  Pavardenis2020                3.12                          
Vardenis2021                  Pavardenis2021                3.36                          
Vardenis2022                  Pavardenis2022                3.60                          
Vardenis2023                  Pavardenis2023                2.40                          
Vardenis2024                  Pavardenis2024                3.60                          
Vardenis2025                  Pavardenis2025                2.88                          
Vardenis2026                  Pavardenis2026                3.04                          
Vardenis2027                  Pavardenis2027                3.36                          
Vardenis2028                  Pavardenis2028                3.92                          
Vardenis2029                  Pavardenis2029                3.68                          
Vardenis203                   Pavardenis203                 2.56                          
Vardenis2030                  Pavardenis2030                3.44                          
Vardenis2031                  Pavardenis2031                3.60                          
Vardenis2032                  Pavardenis2032                3.52                          
Vardenis2033                  Pavardenis2033                3.28                          
Vardenis2034                  Pavardenis2034                3.68                          
Vardenis2035                  Pavardenis2035                3.60                          
Vardenis2036                  Pavardenis2036                4.48                          
Vardenis2037                  Pavardenis2037                3.44                          
Vardenis2038                  Pavardenis2038                3.60                          
Vardenis2039                  Pavardenis2039                3.44                          
Vardenis204                   Pavardenis204                 3.12                          
Vardenis2040                  Pavardenis2040                3.28                          
Vardenis2041                  Pavardenis2041                2.64                          
Vardenis2042                  Pavardenis2042                4.16                          
Vardenis2043                  Pavardenis2043                4.24                          
Vardenis2044                  Pavardenis2044                2.56                          
Vardenis2045                  Pavardenis2045                2.88                          
Vardenis2046                  Pavardenis2046                3.84                          
Vardenis2047                  Pavardenis2047                3.44                          
Vardenis2048                  Pavardenis2048                3.92                          
Vardenis2049                  Pavardenis2049                3.36                          
Vardenis205                   Pavardenis205                 3.44                          
Vardenis2050                  Pavardenis2050                3.60                          
Vardenis2051                  Pavardenis2051                2.64                          
Vardenis2052                  Pavardenis2052                3.28                          
Vardenis2053                  Pavardenis2053                3.52                          
Vardenis2054                  Pavardenis2054                2.32                          
Vardenis2055                  Pavardenis2055                2.80                          
Vardenis2056                  Pavardenis2056                2.88                          
Vardenis2057                  Pavardenis2057                3.84                          
Vardenis2058                  Pavardenis2058                4.08                          
Vardenis2059                  Pavardenis2059                4.00                          
Vardenis206                   Pavardenis206                 4.32                          
Vardenis2060                  Pavardenis2060                3.60                          
Vardenis2061                  Pavardenis2061                3.28                          
Vardenis2062                  Pavardenis2062                4.24                          
Vardenis2063                  Pavardenis2063                3.28                          
Vardenis2064                  Pavardenis2064                3.60                          
Vardenis2065                  Pavardenis2065                3.52                          
Vardenis2066                  Pavardenis2066                3.20                          
Vardenis2067                  Pavardenis2067                3.20                          
Vardenis2068                  Pavardenis2068                3.04                          
Vardenis2069                  Pavardenis2069                3.36                          
Vardenis207                   Pavardenis207                 3.20                          
Vardenis2070                  Pavardenis2070                4.00                          
Vardenis2071                  Pavardenis2071                4.00                          
Vardenis2072                  Pavardenis2072                2.48                          
Vardenis2073                  Pavardenis2073                3.20                          
Vardenis2074                  Pavardenis2074                3.04                          
Vardenis2075                  Pavardenis2075                4.40                          
Vardenis2076                  Pavardenis2076                3.04                          
Vardenis2077                  Pavardenis2077                3.68                          
Vardenis2078                  Pavardenis2078                2.72                          
Vardenis2079                  Pavardenis2079                3.28                          
Vardenis208                   Pavardenis208                 4.08                          
Vardenis2080                  Pavardenis2080                3.20                          
Vardenis2081                  Pavardenis2081                4.56                          
Vardenis2082                  Pavardenis2082                3.28                          
Vardenis2083                  Pavardenis2083                3.36                          
Vardenis2084                  Pavardenis2084                2.48                          
Vardenis2085                  Pavardenis2085                3.60                          
Vardenis2086                  Pavardenis2086                3.76                          
Vardenis2087                  Pavardenis2087                2.72                          
Vardenis2088                  Pavardenis2088                3.04                          
Vardenis2089                  Pavardenis2089                3.28                          
Vardenis209                   Pavardenis209                 4.48                          
Vardenis2090                  Pavardenis2090                3.60                          
Vardenis2091                  Pavardenis2091                2.72                          
Vardenis2092                  Pavardenis2092                3.60                          
Vardenis2093                  Pavardenis2093                2.64                          
Vardenis2094                  Pavardenis2094                2.96                          
Vardenis2095                  Pavardenis2095                3.52                          
Vardenis2096                  Pavardenis2096                3.44                          
Vardenis2097                  Pavardenis2097                2.88                          
Vardenis2098                  Pavardenis2098                3.36                          
Vardenis2099                  Pavardenis2099                2.24                          
Vardenis21                    Pavardenis21                  3.76                          
Vardenis210                   Pavardenis210                 2.80                          
Vardenis2102                  Pavardenis2102                4.12                          
Vardenis2106                  Pavardenis2106                4.60                          
Vardenis2108                  Pavardenis2108                4.52                          
Vardenis211                   Pavardenis211                 3.12                          
Vardenis2110                  Pavardenis2110                4.92                          
Vardenis2114                  Pavardenis2114                4.76                          
Vardenis2116                  Pavardenis2116                4.92                          
Vardenis212                   Pavardenis212                 4.32                          
Vardenis2121                  Pavardenis2121                4.84                          
Vardenis2122                  Pavardenis2122                4.68                          
Vardenis2123                  Pavardenis2123                4.92                          
Vardenis213                   Pavardenis213                 2.80                          
Vardenis2132                  Pavardenis2132                4.44                          
Vardenis2135                  Pavardenis2135                4.76                          
Vardenis2139                  Pavardenis2139                4.76                          
Vardenis214                   Pavardenis214                 3.52                          
Vardenis2141                  Pavardenis2141                4.84                          
Vardenis2147                  Pavardenis2147                4.84                          
Vardenis2149                  Pavardenis2149                4.60                          
Vardenis215                   Pavardenis215                 4.24                          
Vardenis2154                  Pavardenis2154                4.92                          
Vardenis2155                  Pavardenis2155                4.92                          
Vardenis2157                  Pavardenis2157                4.92                          
Vardenis216                   Pavardenis216                 2.72                          
Vardenis2160                  Pavardenis2160                4.92                          
Vardenis2167                  Pavardenis2167                4.76                          
Vardenis217                   Pavardenis217                 3.12                          
Vardenis2172                  Pavardenis2172                4.60                          
Vardenis2175                  Pavardenis2175                4.60                          
Vardenis218                   Pavardenis218                 3.76                          
Vardenis2180                  Pavardenis2180                4.36                          
Vardenis2184                  Pavardenis2184                4.68                          
Vardenis2188                  Pavardenis2188                3.96                          
Vardenis219                   Pavardenis219                 3.20                          
Vardenis2191                  Pavardenis2191                4.76                          
Vardenis2193                  Pavardenis2193                4.76                          
Vardenis2194                  Pavardenis2194                3.96                          
Vardenis2199                  Pavardenis2199                4.68                          
Vardenis22                    Pavardenis22                  4.16                          
Vardenis220                   Pavardenis220                 3.60                          
Vardenis2202                  Pavardenis2202                4.52                          
Vardenis2203                  Pavardenis2203                4.68                          
Vardenis221                   Pavardenis221                 3.28                          
Vardenis2212                  Pavardenis2212                4.84                          
Vardenis2217                  Pavardenis2217                4.68                          
Vardenis2218                  Pavardenis2218                4.36                          
Vardenis222                   Pavardenis222                 3.52                          
Vardenis2221                  Pavardenis2221                4.92                          
Vardenis2224                  Pavardenis2224                4.68                          
Vardenis2225                  Pavardenis2225                4.76                          
Vardenis2228                  Pavardenis2228                4.84                          
Vardenis223                   Pavardenis223                 2.96                          
Vardenis2230                  Pavardenis2230                4.84                          
Vardenis2235                  Pavardenis2235                4.68                          
Vardenis2236                  Pavardenis2236                4.84                          
Vardenis2237                  Pavardenis2237                4.76                          
Vardenis2238                  Pavardenis2238                4.36                          
Vardenis2239                  Pavardenis2239                4.84                          
Vardenis224                   Pavardenis224                 3.68                          
Vardenis2241                  Pavardenis2241                4.28                          
Vardenis2245                  Pavardenis2245                4.36                          
Vardenis2246                  Pavardenis2246                4.92                          
Vardenis2247                  Pavardenis2247                3.88                          
Vardenis2248                  Pavardenis2248                4.28                          
Vardenis225                   Pavardenis225                 2.64                          
Vardenis2253                  Pavardenis2253                4.60                          
Vardenis2257                  Pavardenis2257                4.20                          
Vardenis226                   Pavardenis226                 3.76                          
Vardenis2262                  Pavardenis2262                4.52                          
Vardenis2263                  Pavardenis2263                4.44                          
Vardenis2265                  Pavardenis2265                4.76                          
Vardenis2267                  Pavardenis2267                4.76                          
Vardenis227                   Pavardenis227                 2.48                          
Vardenis2273                  Pavardenis2273                4.92                          
Vardenis2274                  Pavardenis2274                3.96                          
Vardenis2276                  Pavardenis2276                4.36                          
Vardenis2277                  Pavardenis2277                4.92                          
Vardenis228                   Pavardenis228                 2.24                          
Vardenis2286                  Pavardenis2286                4.84                          
